started,started,started,2020-03-06 07:43:00
50,0.005033250285497477,0.005235051328781992,2020-03-06 10:04:13
51,0.005031429137043813,0.005315809103194624,2020-03-06 10:04:16
52,0.005033014317419618,0.00524866278283298,2020-03-06 10:04:18
53,0.005030605408647065,0.005182550172321498,2020-03-06 10:04:21
54,0.005034753970194159,0.005289300461299717,2020-03-06 10:04:24
55,0.005033016246116013,0.005249858426395804,2020-03-06 10:04:27
56,0.005032880170640687,0.005330581101588905,2020-03-06 10:04:30
57,0.005032639595488391,0.005340200965292752,2020-03-06 10:04:33
58,0.005032046597305659,0.005435377475805581,2020-03-06 10:04:36
59,0.005030776303036944,0.005320105410646647,2020-03-06 10:04:38
60,0.005035455338656902,0.005368389771319926,2020-03-06 10:04:41
61,0.005031314004767448,0.005125033785589039,2020-03-06 10:04:44
started,started,started,2020-03-06 11:50:06
1,0.279401757041032,0.015150026069022715,2020-03-06 11:50:09
2,0.006709843824439226,0.005491258634719998,2020-03-06 11:50:12
3,0.005251989252402956,0.005482226610183716,2020-03-06 11:50:15
4,0.005218954477789448,0.005407304677646607,2020-03-06 11:50:18
5,0.005192004601596623,0.005546505650272593,2020-03-06 11:50:20
6,0.005163126100013231,0.005411975085735321,2020-03-06 11:50:23
7,0.005136138138671716,0.005383347219321877,2020-03-06 11:50:26
8,0.0051068740282604035,0.005411570018623024,2020-03-06 11:50:29
9,0.005080688553234787,0.005323851422872394,2020-03-06 11:50:32
10,0.005068916490578905,0.005319302843417972,2020-03-06 11:50:35
11,0.005055449156632238,0.005269788787700236,2020-03-06 11:50:38
12,0.005052855659395139,0.005198610771913081,2020-03-06 11:50:40
13,0.0050472743852156485,0.005257401673588902,2020-03-06 11:50:43
14,0.00504620868468274,0.005355702101951465,2020-03-06 11:50:46
15,0.00504454900345481,0.005350395920686424,2020-03-06 11:50:49
16,0.00504376436913954,0.005258628923911601,2020-03-06 11:50:52
17,0.005040483179350271,0.005295193928759545,2020-03-06 11:50:55
18,0.005041215753724389,0.005214528529904783,2020-03-06 11:50:57
19,0.005042022176694574,0.005213058087974787,2020-03-06 11:51:00
20,0.0050389718673859085,0.005333272274583578,2020-03-06 11:51:03
21,0.005039682321197597,0.005283561535179615,2020-03-06 11:51:06
22,0.005037389048342163,0.005245183012448251,2020-03-06 11:51:09
23,0.005036627389952963,0.00531086401315406,2020-03-06 11:51:12
24,0.0050378571171974034,0.005370435101212934,2020-03-06 11:51:15
25,0.005037709510825733,0.005336830741725862,2020-03-06 11:51:17
26,0.005037806363419649,0.00520433863857761,2020-03-06 11:51:20
27,0.005034780271800486,0.005210589355556294,2020-03-06 11:51:23
28,0.005038088985144141,0.005249257024843246,2020-03-06 11:51:26
29,0.0050355333071994655,0.005195657373405993,2020-03-06 11:51:29
30,0.00503683290840622,0.005159884662134573,2020-03-06 11:51:31
31,0.005036872808312905,0.00527295283973217,2020-03-06 11:51:34
32,0.005034892017299191,0.005256558128166944,2020-03-06 11:51:37
33,0.005035306305578309,0.005359417351428419,2020-03-06 11:51:40
34,0.00503282618200314,0.0053156602662056684,2020-03-06 11:51:43
35,0.005032577822711451,0.005422344314865768,2020-03-06 11:51:45
36,0.00503510485257927,0.0053449454717338085,2020-03-06 11:51:48
37,0.005036372293434139,0.005381641443818808,2020-03-06 11:51:51
38,0.0050327701969666684,0.005296366231050342,2020-03-06 11:51:54
39,0.0050387764498195115,0.005254929303191602,2020-03-06 11:51:57
40,0.005034714217251497,0.005216228193603456,2020-03-06 11:51:59
41,0.005036014535114275,0.005341063952073455,2020-03-06 11:52:02
42,0.005035689847002215,0.005351453088223934,2020-03-06 11:52:05
43,0.005035466042261386,0.005426578165497631,2020-03-06 11:52:08
44,0.005032656395622919,0.005353100365027785,2020-03-06 11:52:11
45,0.0050358253263650425,0.005327622231561691,2020-03-06 11:52:14
46,0.005036239398326328,0.005245269974693656,2020-03-06 11:52:17
47,0.005034233644895308,0.005282441328745335,2020-03-06 11:52:20
48,0.005036755106643053,0.005301663186401129,2020-03-06 11:52:23
49,0.005034713061354685,0.005164981150301173,2020-03-06 11:52:26
50,0.005033633967280282,0.00521288497839123,2020-03-06 11:52:29
51,0.005033813567224441,0.0052483947947621346,2020-03-06 11:52:31
52,0.005032931888766639,0.005298264441080391,2020-03-06 11:52:34
53,0.005031478779509347,0.005250641610473394,2020-03-06 11:52:37
54,0.005033708692706646,0.005238187499344349,2020-03-06 11:52:40
55,0.005032419382284085,0.0052113967831246555,2020-03-06 11:52:43
56,0.005034898742967358,0.005344946053810418,2020-03-06 11:52:46
57,0.005034196185582178,0.005308603227604181,2020-03-06 11:52:48
58,0.00503411752680409,0.005150346027221531,2020-03-06 11:52:51
59,0.005035840509895315,0.0051203253387939185,2020-03-06 11:52:54
60,0.005033167098906446,0.005231146700680256,2020-03-06 11:52:57
61,0.005032861611891723,0.0052105499198660254,2020-03-06 11:53:00
started,started,started,2020-03-06 12:00:06
1,0.14068268279789398,0.011581172235310078,2020-03-06 12:00:08
2,0.005900176869480745,0.005593139736447483,2020-03-06 12:00:11
3,0.005179568922067893,0.005388731602579355,2020-03-06 12:00:14
4,0.005157115674372895,0.005431023542769253,2020-03-06 12:00:17
5,0.005135928404497656,0.005260891077341512,2020-03-06 12:00:19
6,0.005116940958174408,0.0053212985512800515,2020-03-06 12:00:22
7,0.005099608888189103,0.005370752885937691,2020-03-06 12:00:25
8,0.005082770909598851,0.005282450234517455,2020-03-06 12:00:28
9,0.005072283071419555,0.005352178472094238,2020-03-06 12:00:30
10,0.005062349655843796,0.005324856378138065,2020-03-06 12:00:33
11,0.00506092636377042,0.005260261299554259,2020-03-06 12:00:36
12,0.0050556679134065585,0.005271484085824341,2020-03-06 12:00:39
13,0.005053448624552247,0.005149222764885053,2020-03-06 12:00:41
14,0.005053354882972038,0.0052510834648273885,2020-03-06 12:00:44
15,0.005048188105133091,0.005311227927450091,2020-03-06 12:00:47
16,0.005048684367962869,0.005187378701521084,2020-03-06 12:00:50
17,0.0050456546732482125,0.00518736380035989,2020-03-06 12:00:52
